;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
7700;K810012-1;Duplo 3-Piece Bedding Set Green - Junior;2008;Gear;Bedding;Miscellaneous;Gear;;;;;https://brickset.com/sets/K810012-1;https://images.brickset.com/sets/small/K810012-1.jpg;https://images.brickset.com/sets/images/K810012-1.jpg
7701;K810020-1;Duplo 3-Piece Bedding Set Pink - Baby;2008;Gear;Bedding;Miscellaneous;Gear;;;;;https://brickset.com/sets/K810020-1;https://images.brickset.com/sets/small/K810020-1.jpg;https://images.brickset.com/sets/images/K810020-1.jpg
7702;K810022-1;Duplo 3-Piece Bedding Set Pink - Junior;2008;Gear;Bedding;Miscellaneous;Gear;;;;;https://brickset.com/sets/K810022-1;https://images.brickset.com/sets/small/K810022-1.jpg;https://images.brickset.com/sets/images/K810022-1.jpg
7703;KINGOFPRUSSIA-1;{Liberty Bell};2008;Promotional;LEGO brand store opening set;Miscellaneous;Other;66.0;;;;https://brickset.com/sets/KINGOFPRUSSIA-1;https://images.brickset.com/sets/small/KINGOFPRUSSIA-1.jpg;https://images.brickset.com/sets/images/KINGOFPRUSSIA-1.jpg
7704;KSB28-1;LEGO BrickMaster Sample Magazine;2008;Gear;Bonus/Value Pack;Miscellaneous;Gear;;;;8.99;https://brickset.com/sets/KSB28-1;https://images.brickset.com/sets/small/KSB28-1.jpg;https://images.brickset.com/sets/images/KSB28-1.jpg
7705;LBMNDS-1;LEGO Batman: The Videogame;2008;Gear;Video Games/DS;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMNDS-1;https://images.brickset.com/sets/small/LBMNDS-1.jpg;https://images.brickset.com/sets/images/LBMNDS-1.jpg
7706;LBMPC-1;LEGO Batman: The Videogame;2008;Gear;Video Games/PC;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMPC-1;https://images.brickset.com/sets/small/LBMPC-1.jpg;https://images.brickset.com/sets/images/LBMPC-1.jpg
7707;LBMPS2-1;LEGO Batman: The Videogame;2008;Gear;Video Games/PS2;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMPS2-1;https://images.brickset.com/sets/small/LBMPS2-1.jpg;https://images.brickset.com/sets/images/LBMPS2-1.jpg
7708;LBMPS3-1;LEGO Batman: The Videogame;2008;Gear;Video Games/PS3;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMPS3-1;https://images.brickset.com/sets/small/LBMPS3-1.jpg;https://images.brickset.com/sets/images/LBMPS3-1.jpg
7709;LBMPSP-1;LEGO Batman: The Videogame;2008;Gear;Video Games/PSP;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMPSP-1;https://images.brickset.com/sets/small/LBMPSP-1.jpg;https://images.brickset.com/sets/images/LBMPSP-1.jpg
7710;LBMWII-1;LEGO Batman: The Videogame;2008;Gear;Video Games/Wii;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMWII-1;https://images.brickset.com/sets/small/LBMWII-1.jpg;https://images.brickset.com/sets/images/LBMWII-1.jpg
7711;LBMX360-1;LEGO Batman: The Videogame;2008;Gear;Video Games/Xbox 360;Miscellaneous;Gear;;;;;https://brickset.com/sets/LBMX360-1;https://images.brickset.com/sets/small/LBMX360-1.jpg;https://images.brickset.com/sets/images/LBMX360-1.jpg
7712;LIJNDS-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/DS;Miscellaneous;Gear;;;;29.99;https://brickset.com/sets/LIJNDS-1;https://images.brickset.com/sets/small/LIJNDS-1.jpg;https://images.brickset.com/sets/images/LIJNDS-1.jpg
7713;LIJPC-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/PC;Miscellaneous;Gear;;;;29.99;https://brickset.com/sets/LIJPC-1;https://images.brickset.com/sets/small/LIJPC-1.jpg;https://images.brickset.com/sets/images/LIJPC-1.jpg
7714;LIJPS2-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/PS2;Miscellaneous;Gear;;;;39.99;https://brickset.com/sets/LIJPS2-1;https://images.brickset.com/sets/small/LIJPS2-1.jpg;https://images.brickset.com/sets/images/LIJPS2-1.jpg
